Deutsch;Englisch
abnehmend;decreasing
Dünung;swell
mäßige Sicht;moderate visibility
schlechte Sicht;poor visibility
rasch zunehmend;rapidly increasing
raue See;rough sea
Regen;rain
Schauer;showers
rechtdrehend;veering
Sprühregen;drizzle
Stärke;force
westliche Winde;westerly winds
Sturmwarnung;gale warning
zunehmend;increasing
Vorhersagegebiet;forecast area
Wettervorhersage;weather forecast
hat Anker verloren;has lost anchor
zeitweise;at times
bewusstlos;unconscious
bisher nicht eingetroffen;not yet arrived
Brandabwehr;fire fighting
Sände (die Sandbänke);banks
dringend;urgent
Feuer;fire
gebrochener Mast;broken mast
Herzinfarkt;heart attack
Hubschrauber;helicopter
gekentert;capsized
Kollision;collision
in kritischem Zustand;in critical condition
manövrierunfähig (sein);not (to be) under command
Mensch über Bord;person over board
mögliche Hilfeleistung;possible assistance
nicht unter Kontrolle (sein);not (to be) under control
Rettungsfloß;liferaft
Rettungsboot;lifeboat
Ruder gebrochen/defekt;rudder broken
Schiff brennt;vessel on fire
Schlepperhilfe;tug assistance
schwer verletzt;seriously injured
Seenotleitung;MRCC
Yacht sinkt;yacht is sinking
sofortige Hilfe;immediate help
Wassereinbruch;flooding
scharf Ausschau halten;keep sharp lookout
starke Schlagseite;heavy list
überfällig;Overdue
Überlebende;survivors
vom Mast gefallen;fallen off the mast
Rote Raketen;red rockets
Motorschaden;engine trouble
Abstand halten;keep a berth
ankern;to anchor
ansteuern;to approach
auf der/dieser Route;on this route
auf (etw.) zu;towards (something)
mit Bestimmungshafen;bound for
Fahrwasser;fairway
Gebiet;area
Geschwindigkeit;speed
in der Nähe von;in vicinity of
Kurs;course
Leucht-Heultonne;light and whistle buoy
Länge;length
Ortszeit;local time
Position;position
rechtweisende Peilung;true bearing
rechtweisender Kurs;true course
Tiefwasserweg;deep water lane
unterwegs;underway
Verkehrstrennungsgebiet;traffic separation scheme
verlöscht gemeldet;reported unlit
vorsichtig navigieren;navigate carefully
Aufbauten;superstructures
mit der Aufschrift;marked with
Fischereifahrzeug;fishing vessel
Motorraum;engine room
rot gestrichene;red painted
roter Rumpf;red hull
Steuerbord;starboard
weiße Segel;white sails
Backbord;port side
Besatzungsmitglied;crew member
berichten an;report to
fortgeführt;in progress
nicht gesichtet;not sighted
weder noch;neither ... nor ...
werden gebeten;are requested
zuletzt gesichtet;last seen
zwei Personen;two persons
zwischen;between
an Bord;on board
empfangen;received
Austausch;replacement
Betonnung;buoyage
Fischereigeschirr nutzen;to use fishing gear
Nachrichten für Seefahrer;notices to mariners
Nautische Warnung;navigational warning
Unterwasser-Kabel-Arbeiten;underwater cable operations
Küstenwache;coast guard
ich korrigiere;I correct
ich wiederhole;I repeat
ich buchstabiere;I spell
ich wiederhole und buchstabiere;I repeat and spell
Doppelpunkt;colon
Komma;decimal
Punkt (Satzzeichen);stop
neues Wort;new word/next word
in Zahlen;in figures
