Deutsch;Englisch
manövrierunfähig;not under command
Schiff treibt manövrierunfähig;vessel is not under command, drifting
Wassereinbruch;flooding
Yacht sinkt nach Wassereinbruch;yacht is sinking after flooding
starke Schlagseite nach Backbord;heavy list to port side
Ruder gebrochen · Ruderschaden;rudder broken · damaged rudder
defekte Ruderanlage;defective steering gear
gebrochener Mast;broken mast
Motorschaden;engine trouble
Maschinenraum · Motorraum;engine room
nach einer Explosion;after explosion
Schiff brennt;vessel on fire
Feuer in den Aufbauten;fire in superstructures
Feuer nicht unter Kontrolle;fire not under control
Schiff in kritischem Zustand;ship is in critical condition
Kollision mit Fischereifahrzeug;in collision with fishing vessel
treiben auf die Sände zu;drifting towards the banks
wir müssen das Schiff verlassen;we have to abandon the vessel
benötigen sofortige Hilfe;require immediate assistance
benötige Schlepperhilfe;require tug assistance
Hilfe bei der Brandabwehr leisten;to assist in fire fighting
diese Position ansteuern, um Hilfe zu leisten;to approach to this position for assistance
Position, Kurs und Geschwindigkeit angeben;indicate position, course and speed
für mögliche Hilfeleistung;for possible assistance
benötigen Hubschrauber;require helicopter
Person / Mensch über Bord;person over board
zuletzt gesichtet um 0730 UTC;last seen at 0730 UTC
Besatzungsmitglied;crew member
schwer verletzt;seriously injured
bewusstlos;unconscious
Verdacht auf Herzinfarkt;suspect of heart attack
benötige dringend ärztliche Hilfe;require urgent medical assistance
medizinische Hilfe per Hubschrauber;medical assistance by helicopter
ist vom Mast gefallen;has fallen off the mast
Überlebende wurden nicht gesichtet;survivors were not sighted
gekentertes Rettungsfloß;capsized life raft
zwei Personen an Bord;two persons on board
Schiffe in der Nähe werden gebeten …;ships in vicinity are requested to …
die Schifffahrt wird gebeten …;shipping is requested to …
scharf Ausschau halten;to keep sharp lookout
der Seenotleitung Bremen berichten;report to Maritime Rescue Co-ordination Centre Bremen
vorsichtig navigieren;to navigate with caution / carefully
weder ankern noch Fischereigeschirr nutzen;neither to anchor nor to use fishing gear
Abstand von mehr als 2 sm halten;to keep a berth of more than 2 nm
Küstenwache;Coast Guard
in der Nähe von · auf Position;in vicinity of · in position
Leucht- und Heultonne;light and whistle buoy
als verlöscht gemeldet;is reported unlit
Betonnung;buoyage
Fahrwasser;fairway
Verkehrstrennungsgebiet;traffic separation scheme
Tiefwasserweg;deep water lane
Nautische Warnung;navigational warning
Nachrichten für Seefahrer;notices to mariners
Unterwasser-Kabelarbeiten werden durchgeführt;underwater cable operations in progress
wird durchgeführt werden vom … bis …;will be carried out from … to …
laut · gemäß;according to
rote Raketen beobachtet;red rockets observed
treibende 40-Fuß-Container, rot gestrichen;drifting 40-feet containers, red painted
ein Container mit der Aufschrift …;one container marked with …
den Anker verloren;has lost anchor
rechtweisende Peilung 45 Grad;true bearing of 45 degrees
rechtweisender Kurs;true course
12 sm südlich Kap …;12 nm south of Cape …
Seemeile (sm);nautical mile (nm)
Sturmwarnung;gale warning
Vorhersagegebiet;forecast area
Windstärke 8 bis 9;force 8 to 9
zunehmend auf Sturmstärke;increasing to gale force
abnehmend auf 7;decreasing to force 7
rasch zunehmend;rapidly increasing
rechtdrehend · linksdrehend;veering · backing
starke westliche Winde;strong westerly winds
raue See · sehr schwere See;rough sea · very rough sea
hohe Dünung;high swell
Sprühregen, zeitweise;drizzle at times
Schauer;showers
mäßige bis schlechte Sicht;moderate to poor visibility
überfällig seit 16. Januar;overdue since January 16th
unterwegs von … nach …;underway from … to …
mit Bestimmungshafen Visby;bound for Visby
ist bisher dort nicht eingetroffen;has not yet arrived there
verließ Klintholm um 0600 Ortszeit;left Klintholm at 0600 local time
Rumpf · Aufbauten · Segel;hull · superstructures · sails
Länge 12 m · Länge 40 Fuß;length 12 m · length 40 feet
Motorschiff · Rufzeichen;M/V (motor vessel) · C/S (call sign)
Geschwindigkeit 13 Knoten;speed 13 knots
folgendes empfangen auf UKW-Kanal 16;following received on VHF channel 16
gesichtet · beobachtet;sighted · observed
in diesem Gebiet;in this area
Komma (vom Prüfer vorgelesen);DECIMAL
